tweet_count,City,id,tweet_text,timestamp,hashtags,username,mentions,rewtweets,replies,link,day,hour,minute,during_fire,text_nourl,key_score,from_locations
,"Paradise, CA",1.0578767782225304e+18,"Thank you to everyone who made this happen, we truly made this one a Magical one and I loved every moment of it. At least 200 trick-or-treaters and thousands of smiles and laughs.… https://www.instagram.com/p/BpoIhJrHxmY/?utm_source=ig_twitter_share&amp;igshid=1bu12zg6s3bk4",2018-11-01 06:07:32+00:00,,ChancellorSassy,,0,0,https://twitter.com/ChancellorSassy/status/1057876778222530560,1,6,7,0,"Thank you to everyone who made this happen, we truly made this one a Magical one and I loved every moment of it. At least 200 trick-or-treaters and thousands of smiles and laughs.… ",0,"Paradise, CA"
,Butte County,1.057885259985875e+18,“Don't let yesterday take up too much of today.” #myjourney #findinginnerpeace #newnormal #medicalnegligence #ileostomy #ileostomybag #ileostomysurgery #fistula #blockages #lavages… https://www.instagram.com/p/BpoMXtLn_TH/?utm_source=ig_twitter_share&amp;igshid=8m09618rb66a,2018-11-01 06:41:15+00:00,#myjourney #findinginnerpeace #newnormal #medicalnegligence #ileostomy #ileostomybag #ileostomysurgery #fistula #blockages #lavages,bridgit724,,1,0,https://twitter.com/bridgit724/status/1057885259985874944,1,6,41,0,“Don't let yesterday take up too much of today.” #myjourney #findinginnerpeace #newnormal #medicalnegligence #ileostomy #ileostomybag #ileostomysurgery #fistula #blockages #lavages… ,0,"Oroville, CA"
,Butte County,1.0579509139927654e+18,Feather: Running,2018-11-01 11:02:08+00:00,,whats_running,,0,0,https://twitter.com/whats_running/status/1057950913992765440,1,11,2,0,Feather: Running,0,Butte County
,"Paradise, CA",1.0579886862252563e+18,#yep #ilivehereyoudont #dogsrule #rescuedog @Wags and Whiskers Pet Rescue https://www.instagram.com/p/Bpo7Zuinghd/?utm_source=ig_twitter_share&amp;igshid=k1evw3xiufpp,2018-11-01 13:32:13+00:00,#yep #ilivehereyoudont #dogsrule #rescuedog,girlvsgrape,,0,0,https://twitter.com/girlvsgrape/status/1057988686225256449,1,13,32,0,#yep #ilivehereyoudont #dogsrule #rescuedog @Wags and Whiskers Pet Rescue ,0,"Chico, CA"
,"Paradise, CA",1.05799101226462e+18,Your Thursday reminder. You are the secret ingredient for happiness. #happiness #life #success #change #power #love #health #gains #decisions #allyou #reminder #oneperson… https://www.instagram.com/trudikrupocki/p/Bpo8dTvg6l8/?utm_source=ig_twitter_share&amp;igshid=s2qhge50d9n3,2018-11-01 13:41:28+00:00,#happiness #life #success #change #power #love #health #gains #decisions #allyou #reminder #oneperson,gratefulcake,,0,0,https://twitter.com/gratefulcake/status/1057991012264620032,1,13,41,0,Your Thursday reminder. You are the secret ingredient for happiness. #happiness #life #success #change #power #love #health #gains #decisions #allyou #reminder #oneperson… ,0,"Chico, CA"
,"Paradise, CA",1.0579924809168159e+18,"At this time next month we will be in our new home, our new city, starting our new life. Do we currently have any idea where any of that will be? Nope. • We know the general area but that… https://www.instagram.com/p/Bpo9HjABH2A/?utm_source=ig_twitter_share&amp;igshid=vr4ge65ymban",2018-11-01 13:47:18+00:00,,AshleyMJackson,,0,0,https://twitter.com/AshleyMJackson/status/1057992480916815873,1,13,47,0,"At this time next month we will be in our new home, our new city, starting our new life. Do we currently have any idea where any of that will be? Nope. • We know the general area but that… ",0,"Chico, CA"
,"Paradise, CA",1.0579942026032742e+18,"Marinated #porkfilet w/#ricenoodles #castironcooking #onepanmeal #quickandeasymeals #eatgoodfood @Paradise, California https://www.instagram.com/liveg2g/p/Bpo96MJHeZq/?utm_source=ig_twitter_share&amp;igshid=1qx47vybql3nq",2018-11-01 13:54:09+00:00,#porkfilet #ricenoodles #castironcooking #onepanmeal #quickandeasymeals #eatgoodfood,liveg2g,,0,0,https://twitter.com/liveg2g/status/1057994202603274240,1,13,54,0,"Marinated #porkfilet w/#ricenoodles #castironcooking #onepanmeal #quickandeasymeals #eatgoodfood @Paradise, California ",0,"Paradise, CA"
,"Paradise, CA",1.0579975214427505e+18,Happy World Vegan Day! Thank you all for being so awesome! Treat yourself to some vegan goodies today! #chicovegan #friendsnotfood #someonenotsomething #choosekindness #worldveganday… https://www.instagram.com/p/Bpo_bC3ntXw/?utm_source=ig_twitter_share&amp;igshid=n5xyexxwywr8,2018-11-01 14:07:20+00:00,#chicovegan #friendsnotfood #someonenotsomething #choosekindness #worldveganday,chicovegan,,0,0,https://twitter.com/chicovegan/status/1057997521442750464,1,14,7,0,Happy World Vegan Day! Thank you all for being so awesome! Treat yourself to some vegan goodies today! #chicovegan #friendsnotfood #someonenotsomething #choosekindness #worldveganday… ,0,"Chico, CA"
,"Paradise, CA",1.0580026975326616e+18,One of the many benefits of getting to the gym early. #sunrise #inmotionfitness #earlyriser #mornings #naturalbeauty #sky #gift #workoutearly #benefits #wonpeaceinstitute… https://www.instagram.com/trudikrupocki/p/BppBxpugcTn/?utm_source=ig_twitter_share&amp;igshid=5vkj1kj1yq81,2018-11-01 14:27:54+00:00,#sunrise #inmotionfitness #earlyriser #mornings #naturalbeauty #sky #gift #workoutearly #benefits #wonpeaceinstitute,gratefulcake,,0,0,https://twitter.com/gratefulcake/status/1058002697532661762,1,14,27,0,One of the many benefits of getting to the gym early. #sunrise #inmotionfitness #earlyriser #mornings #naturalbeauty #sky #gift #workoutearly #benefits #wonpeaceinstitute… ,0,"Chico, CA"
,"Paradise, CA",1.0580063784161444e+18,AVAILABLE FOR APPOINTMENTS @chicobraidqueen #chicobraidqueen #chicodreadstylist #chicommabraider #chicofeedins #chicosports #chicobraids. #530braids #530hair #530weaves… https://www.instagram.com/p/BppDbU5ntK_/?utm_source=ig_twitter_share&amp;igshid=1ozox2c7zovt0,2018-11-01 14:42:32+00:00,#chicobraidqueen #chicodreadstylist #chicommabraider #chicofeedins #chicosports #chicobraids #530braids #530hair #530weaves,chicobraidqueen,@chicobraidqueen,0,0,https://twitter.com/chicobraidqueen/status/1058006378416144385,1,14,42,0,AVAILABLE FOR APPOINTMENTS @chicobraidqueen #chicobraidqueen #chicodreadstylist #chicommabraider #chicofeedins #chicosports #chicobraids. #530braids #530hair #530weaves… ,0,"Chico, CA"
,"Paradise, CA",1.0580134330550559e+18,Chico CA Thu Nov 1st AM Forecast: TODAY Mostly Sunny Hi 83 TONIGHT Clear Lo 55,2018-11-01 15:10:34+00:00,,_ChicoCA,,1,0,https://twitter.com/_ChicoCA/status/1058013433055055879,1,15,10,0,Chico CA Thu Nov 1st AM Forecast: TODAY Mostly Sunny Hi 83 TONIGHT Clear Lo 55,0,"Chico, CA"
,"Paradise, CA",1.0580393181729137e+18,"I’ve trained for a marathon a couple times and although you run 26.2 miles race day, you generally never train past 20. • To be ready for that day you show up over and over and over… https://www.instagram.com/p/BppSbdjBD1d/?utm_source=ig_twitter_share&amp;igshid=109yiga3srjkb",2018-11-01 16:53:25+00:00,,AshleyMJackson,,0,0,https://twitter.com/AshleyMJackson/status/1058039318172913664,1,16,53,0,"I’ve trained for a marathon a couple times and although you run 26.2 miles race day, you generally never train past 20. • To be ready for that day you show up over and over and over… ",0,"Chico, CA"
,Butte County,1.0580453139052462e+18,Work field trip. #kingsalmon #chinook #fisheries #fishhatchery #salmonladder @Feather River https://www.instagram.com/p/BppVJ22l5xL/?utm_source=ig_twitter_share&amp;igshid=1srzsapy19r15,2018-11-01 17:17:15+00:00,#kingsalmon #chinook #fisheries #fishhatchery #salmonladder,klutz01,,0,0,https://twitter.com/klutz01/status/1058045313905246208,1,17,17,0,Work field trip. #kingsalmon #chinook #fisheries #fishhatchery #salmonladder @Feather River ,0,Butte County
,"Paradise, CA",1.0580552982949929e+18,Thanks to all who came out to the silent disco! See you all on the next one! #greenchannel #chicoca #chicostate #silentdisco @Panama Bar Cafe https://www.instagram.com/p/BppZJtOHCfR/?utm_source=ig_twitter_share&amp;igshid=153kfeolmm2lq,2018-11-01 17:56:55+00:00,#greenchannel #chicoca #chicostate #silentdisco,Deejay_Eclectic,,0,0,https://twitter.com/Deejay_Eclectic/status/1058055298294992896,1,17,56,0,Thanks to all who came out to the silent disco! See you all on the next one! #greenchannel #chicoca #chicostate #silentdisco @Panama Bar Cafe ,0,"Chico, CA"
,"Paradise, CA",1.0580941753281331e+18,"Yabba dabba doo @Chico, California https://www.instagram.com/p/BpprYLkHUXh/?utm_source=ig_twitter_share&amp;igshid=1j0pgbc193wfd",2018-11-01 20:31:24+00:00,,sammiiiedevette,,0,0,https://twitter.com/sammiiiedevette/status/1058094175328133120,1,20,31,0,"Yabba dabba doo @Chico, California ",0,"Chico, CA"
,"Paradise, CA",1.0581070393717472e+18,REPOST! @paulcomponent: If you ride tubeless tires you GOTTA have a @dynaplug on you at all times. They’ve saved our asses deeeep in the woods where walking home is not an option. And… https://www.instagram.com/p/BppxHDpheK2/?utm_source=ig_twitter_share&amp;igshid=3pkeytc43h6n,2018-11-01 21:22:31+00:00,,dynaplug,@PaulComponent @dynaplug,0,0,https://twitter.com/dynaplug/status/1058107039371747328,1,21,22,0,REPOST! @paulcomponent: If you ride tubeless tires you GOTTA have a @dynaplug on you at all times. They’ve saved our asses deeeep in the woods where walking home is not an option. And… ,0,"Chico, CA"
,"Paradise, CA",1.058114631347036e+18,"Meet Wendy Porter, new #buttecollege navigator. She has big plans to train our youth for jobs in cyber security. #growtech #chicostart #cyberpatriot #growmanufacturing @California State… https://www.instagram.com/p/Bpp0bNZnEZv/?utm_source=ig_twitter_share&amp;igshid=1ls9v00ah2ilw",2018-11-01 21:52:41+00:00,#buttecollege #growtech #chicostart #cyberpatriot #growmanufacturing,ButtePresident,,2,0,https://twitter.com/ButtePresident/status/1058114631347036160,1,21,52,0,"Meet Wendy Porter, new #buttecollege navigator. She has big plans to train our youth for jobs in cyber security. #growtech #chicostart #cyberpatriot #growmanufacturing @California State… ",0,"Chico, CA"
,"Paradise, CA",1.0581183580029171e+18,"Huey D. NUPETON #holloween2018 @Chico, California https://www.instagram.com/p/Bpp2XwUnDG1/?utm_source=ig_twitter_share&amp;igshid=q72grjwr0tgl",2018-11-01 22:07:30+00:00,#holloween2018,EDDY_HASKLE,,0,0,https://twitter.com/EDDY_HASKLE/status/1058118358002917377,1,22,7,0,"Huey D. NUPETON #holloween2018 @Chico, California ",0,"Chico, CA"
,"Paradise, CA",1.0581232389774744e+18,"Like to laugh and have a good time? Sounds like you should come see my latest show, ""High Noon on Wall Street."" @Theatre On The Ridge https://www.instagram.com/p/Bpp4mIHHoxK/?utm_source=ig_twitter_share&amp;igshid=os2dr20gfi1q",2018-11-01 22:26:53+00:00,,AshiahD,,0,0,https://twitter.com/AshiahD/status/1058123238977474560,1,22,26,0,"Like to laugh and have a good time? Sounds like you should come see my latest show, ""High Noon on Wall Street."" @Theatre On The Ridge ",0,"Paradise, CA"
,Butte County,1.0581321402720297e+18,Feather: Running,2018-11-01 23:02:16+00:00,,whats_running,,0,0,https://twitter.com/whats_running/status/1058132140272029696,1,23,2,0,Feather: Running,0,Butte County
,"Paradise, CA",1.0581432840554945e+18,"It’s hard to believe that today is this cutie pie’s first birthday! One year ago today he stole our hearts and we’re never taking them back. We love you, Charlie! Gigi and Grandpa… https://www.instagram.com/p/BpqBnRdHkqb/?utm_source=ig_twitter_share&amp;igshid=ofw91x00nz7z",2018-11-01 23:46:32+00:00,,CuratedTravelHL,,0,0,https://twitter.com/CuratedTravelHL/status/1058143284055494656,1,23,46,0,"It’s hard to believe that today is this cutie pie’s first birthday! One year ago today he stole our hearts and we’re never taking them back. We love you, Charlie! Gigi and Grandpa… ",0,"Chico, CA"
,"Paradise, CA",1.0581434458213376e+18,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer… https://www.instagram.com/p/BpqBx1plIvd/?utm_source=ig_twitter_share&amp;igshid=10hb4wc2r4v89,2018-11-01 23:47:11+00:00,#california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1058143445821337601,1,23,47,0,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer… ,0,"Paradise, CA"
,"Paradise, CA",1.0581440477584998e+18,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer #adventure… https://www.instagram.com/p/BpqCDiLFGWy/?utm_source=ig_twitter_share&amp;igshid=qoo6vcdqtarg,2018-11-01 23:49:35+00:00,#california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer #adventure,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1058144047758499846,1,23,49,0,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer #adventure… ,0,"Paradise, CA"
,"Paradise, CA",1.058144328785244e+18,first day of November...VOTE -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer #adventure #beautiful #style… https://www.instagram.com/p/BpqB-cwFEzz/?utm_source=ig_twitter_share&amp;igshid=12u5ilarn8gqg,2018-11-01 23:50:42+00:00,#california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer #adventure #beautiful #style,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1058144328785244160,1,23,50,0,first day of November...VOTE -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer #adventure #beautiful #style… ,0,"Paradise, CA"
,"Paradise, CA",1.0581493326402396e+18,Chico CA Thu Nov 1st PM Forecast: TONIGHT Clear Lo 55 FRIDAY Sunny Hi 80,2018-11-02 00:10:35+00:00,,_ChicoCA,,0,0,https://twitter.com/_ChicoCA/status/1058149332640239623,2,0,10,0,Chico CA Thu Nov 1st PM Forecast: TONIGHT Clear Lo 55 FRIDAY Sunny Hi 80,0,"Chico, CA"
,"Paradise, CA",1.0581496866435727e+18,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer #adventure… https://www.instagram.com/p/BpqEn1sFuMi/?utm_source=ig_twitter_share&amp;igshid=chljmn3v8mmk,2018-11-02 00:11:59+00:00,#california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer #adventure,heywoodphotog,,1,0,https://twitter.com/heywoodphotog/status/1058149686643572736,2,0,11,0,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer #adventure… ,0,"Paradise, CA"
,"Paradise, CA",1.058149890595926e+18,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer… https://www.instagram.com/p/BpqEtn5FHDI/?utm_source=ig_twitter_share&amp;igshid=1p6s83hhauqcu,2018-11-02 00:12:48+00:00,#california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1058149890595926016,2,0,12,0,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer… ,0,"Paradise, CA"
,"Paradise, CA",1.058150027003093e+18,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer… https://www.instagram.com/p/BpqExdjFXXN/?utm_source=ig_twitter_share&amp;igshid=1armruxoooey1,2018-11-02 00:13:20+00:00,#california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1058150027003092992,2,0,13,0,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer… ,0,"Paradise, CA"
,"Paradise, CA",1.0581508376614175e+18,Today's featured Wedding is this gorgeous bride who is wearing 'Marigold' from our wilderlybride | photo: kvtelynmvriephotogrvphy . . . #allurebridals #allure #bridal #bridals… https://www.instagram.com/aebridal/p/BpqFJLtFP4C/?utm_source=ig_twitter_share&amp;igshid=1wz122f9m66w4,2018-11-02 00:16:33+00:00,#allurebridals #allure #bridal #bridals,AE_Bridal,,0,0,https://twitter.com/AE_Bridal/status/1058150837661417472,2,0,16,0,Today's featured Wedding is this gorgeous bride who is wearing 'Marigold' from our wilderlybride | photo: kvtelynmvriephotogrvphy . . . #allurebridals #allure #bridal #bridals… ,0,"Chico, CA"
,"Paradise, CA",1.0581509932785213e+18,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer… https://www.instagram.com/p/BpqFKEGFai5/?utm_source=ig_twitter_share&amp;igshid=1xbmqv35rrfz8,2018-11-02 00:17:10+00:00,#california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1058150993278521345,2,0,17,0,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer… ,0,"Paradise, CA"
,"Paradise, CA",1.0581509995237663e+18,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer… https://www.instagram.com/p/BpqFN9ZFWdn/?utm_source=ig_twitter_share&amp;igshid=1m4jz2ani5y0y,2018-11-02 00:17:12+00:00,#california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1058150999523766272,2,0,17,0,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer… ,0,"Paradise, CA"
,"Paradise, CA",1.058151026191147e+18,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer… https://www.instagram.com/p/BpqFF3EFOp2/?utm_source=ig_twitter_share&amp;igshid=1ero7op4rbegv,2018-11-02 00:17:18+00:00,#california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1058151026191147011,2,0,17,0,first day of November...you ready for winter? -link in bio . . . . . #california #vacation #naturephotography #photographer #instalike #nature #love #wanderlust #sky #summer… ,0,"Paradise, CA"
